,id,yr,cst_n,sub,cst,mag,pty_n,pty,can,vot1,pev1,pv1,pvs1,can,cvs1,press_county,geolocated_county
0,622,1847,aberdeen,scotland - burghs,1,1,Liberal Party (Original),63,liberals candidate 1,-990,3364,1340,1.0,liberals candidate 1,0.6850746273994446,aberdeenshire,
1,622,1847,aberdeen,scotland - burghs,1,1,Liberal Party (Original),63,liberals candidate 2,-990,3364,1340,1.0,liberals candidate 2,0.3149253726005554,aberdeenshire,
2,622,1847,aberdeenshire,scotland - counties,2,1,Conservative,27,-992,-992,3694,-992,-992.0,-992,-992.0,aberdeenshire,Aberdeenshire
3,622,1847,abingdon,england - provincial boroughs,3,1,Conservative,27,-990,-990,339,153,0.5032894611358643,-990,0.5032894611358643,abingdon,Berkshire
4,622,1847,abingdon,england - provincial boroughs,3,1,Liberal Party (Original),63,-990,-990,339,151,0.4967105388641357,-990,0.4967105388641357,abingdon,Berkshire
5,622,1847,andover,england - provincial boroughs,4,2,Liberal Party (Original),63,liberals candidate 1,-990,243,167,0.3957346081733704,liberals candidate 1,0.253554493188858,andover,Hampshire
6,622,1847,andover,england - provincial boroughs,4,2,Conservative,27,conservatives candidate 1,-990,243,255,0.6042653918266296,conservatives candidate 1,0.3175355494022369,andover,Hampshire
7,622,1847,andover,england - provincial boroughs,4,2,Conservative,27,conservatives candidate 2,-990,243,255,0.6042653918266296,conservatives candidate 2,0.2867298722267151,andover,Hampshire
8,622,1847,andover,england - provincial boroughs,4,2,Liberal Party (Original),63,liberals candidate 2,-990,243,167,0.3957346081733704,liberals candidate 2,0.1421801000833511,andover,Hampshire
9,622,1847,anglesey,wales and monmouthshire - counties,5,1,Liberal Party (Original),63,-992,-992,2465,-992,-992.0,-992,-992.0,isle of anglesey,
10,622,1847,antrim county,ireland,6,2,Conservative,27,-992,-992,3487,-992,-992.0,-992,-992.0,antrim county,Antrim
11,622,1847,argyll,scotland - counties,7,1,Conservative,27,-992,-992,1889,-992,-992.0,-992,-992.0,argyllshire,
12,622,1847,armagh city,ireland,8,1,Liberal Party (Original),63,-992,-992,444,-992,-992.0,-992,-992.0,armagh city,Armagh
13,622,1847,armagh county,ireland,9,2,Liberal Party (Original),63,-992,-992,3342,-992,-992.0,-992,-992.0,armagh county,Armagh
14,622,1847,armagh county,ireland,9,2,Conservative,27,-992,-992,3342,-992,-992.0,-992,-992.0,armagh county,Armagh
15,622,1847,arundel,england - provincial boroughs,10,1,Liberal Party (Original),63,-992,-992,221,-992,-992.0,-992,-992.0,arundel,Sussex
16,622,1847,ashburton,england - provincial boroughs,11,1,Liberal Party (Original),63,-992,-992,262,-992,-992.0,-992,-992.0,ashburton,Devonshire
17,622,1847,ashton-under-lyne,england - provincial boroughs,12,1,Liberal Party (Original),63,-992,-992,871,-992,-992.0,-992,-992.0,ashton-under-lyne,Lancashire
18,622,1847,athlone,ireland,13,1,Peelites,101,-990,-990,243,101,0.5153061151504517,-990,0.5153061151504517,athlone,Surrey
19,622,1847,athlone,ireland,13,1,Repealers,114,-990,-990,243,95,0.4846938848495483,-990,0.4846938848495483,athlone,Surrey
20,622,1847,aylesbury,england - provincial boroughs,14,2,Liberal Party (Original),63,-990,-990,1513,620,0.3345925509929657,-990,0.3345925509929657,buckinghamshire,
21,622,1847,aylesbury,england - provincial boroughs,14,2,Conservative,27,conservatives candidate 1,-990,1513,1233,0.6654074192047119,conservatives candidate 1,0.3707501292228699,buckinghamshire,
